Continente,Gran Región / Subcontinente,Región Específica / Área Cultural,Cultura / Sociedad,Cronología Aprox. (10k aC - 750 dC),Subsistencia Principal,Patrón Asentamiento,Arquitectura Notable,Tecnologías Clave,Evidencia Jerarquía Social,Redes Intercambio (Alcance),Sistemas Registro / Escritura,
África,Valle del Nilo,Alto y Bajo Egipto,Antiguo Egipto (Estado Faraónico - Fases diversas),ca. 3100 - 332 a.C.,"Agricultura Intensiva (Nilo), Impuestos en especie","Ciudades, Capitales (Menfis, Tebas), Aldeas, Necrópolis","Pirámides (R. Antiguo), Templos Monumentales, Tumbas Reales","Escritura Jeroglífica/Hierática, Papiro, Ingeniería (Piedra)","Estado Centralizado (Faraón Divino), Burocracia, Sacerdocio","Amplio (Nubia, Levante, Punt, Egeo)","Jeroglífica, Hierática, Demótica",
África,Valle del Nilo,Alto y Bajo Egipto,Reino Ptolemaico,332 - 30 a.C.,"Base agrícola egipcia, Comercio Mediterráneo","Capital Cosmopolita (Alejandría), Ciudades Helenizadas","Faro, Biblioteca/Museo, Templos sincréticos","Ciencia Helenística, Moneda, Administración griega","Monarquía Helenística, Élites griegas/egipcias",Mediterráneo Helenístico,"Griego (adm.), Demótico, Jerogl.",
África,Valle del Nilo,Alto y Bajo Egipto,Imperio Romano (Provincia Aegyptus),30 a.C. - ~395 d.C.,"Granero de Roma (Trigo), Impuestos elevados","Ciudades Romanizadas, Villas, Monasterios (tardío)","Templos romanos/egipcios, Infraestructura romana","Administración Romana, Latín (oficial), Vidrio?","Administración Provincial Romana, Élites locales",Integrado en Imp. Romano,"Griego, Latín, Copto Temprano",
África,Valle del Nilo,Alto y Bajo Egipto,Imperio Bizantino (Diócesis Aegyptus),ca. 395 - 641 d.C.,"Base agrícola, Disputas teológicas","Ciudades, Auge Monasterios","Iglesias Coptas, Monasterios fortificados","Teología Copta, Papiro (continuado)","Jerarquía Eclesiástica, ¿Autonomía creciente?",Parte del Imp. Bizantino,"Copto (litúrgico/literario), Griego",
África,Valle del Nilo,Alto y Bajo Egipto,"Califatos Islámicos Tempranos (Rashidun, Omeya)",ca. 641 - 750 d.C.,"Base agrícola, Impuesto Jizya/Kharaj","Fustat (nueva capital), Ciudades existentes",Primeras Mezquitas (Amr ibn al-As),"Administración árabe, Moneda árabe","Élite árabe musulmana, Población copta (Dhimmi)",Integrado en Califato Islámico,"Árabe (adm./relig.), Copto",
África,Valle del Nilo,Baja Nubia,Culturas Grupo A,ca. 3500 - 2800 a.C.,"Ganadería, ¿Agricultura?","Aldeas, Cementerios ricos",Tumbas con ajuares,Cerámica distintiva,Jefaturas Locales?,Comercio con Egipto Predinástico,[No Evidencia],
África,Valle del Nilo,Baja Nubia,Culturas Grupo C,ca. 2400 - 1550 a.C.,"Ganadería, ¿Agricultura?","Aldeas, Cementerios circulares","Cabañas redondas, Tumbas circulares",Cerámica incisa distintiva,¿Jefaturas Tribales?,Interacción Egipto/Kerma,[No Evidencia],
África,Valle del Nilo,Alta Nubia,Reino de Kerma,ca. 2500 - 1500 a.C.,"Ganadería, Agricultura, Comercio (Oro, Marfil)","Centro Urbano (Kerma), Aldeas Satélite","Deffufas (Templos/Palacios de adobe), Tumbas Reales","Cerámica (tulipa), Metalurgia (Bronce?), ¿Faiança?","Reino Centralizado, Rey, Élite","Egipto, África Interior",[No Evidencia Propia],
África,Valle del Nilo,Alta Nubia / Baja Nubia,Reino de Kush (Napata / Meroe),ca. 800 a.C. - 350 d.C.,"Agricultura, Ganadería, Comercio (Hierro, Oro, Esclavos)","Ciudades (Napata, Meroe), Templos, Pirámides","Pirámides Nubias, Templos (Amón), Palacios","Metalurgia del Hierro, Escritura Meroítica, Rueda hidráulica?","Monarquía, Sacerdocio (Amón), Élites","Egipto, África Interior, ¿Mar Rojo?",Escritura Meroítica (no descif.),
África,Valle del Nilo,Baja Nubia / Alta Nubia,"Reinos Cristianos Nubios (Nobatia, Makuria, Alodia)",ca. 350/550 - 750+ d.C.,"Agricultura (Noria/Saqiya), Comercio","Ciudades (Faras, Dongola, Soba), Iglesias, Monasterios","Iglesias de adobe/piedra, Pintura mural (frescos)","Cerámica pintada distintiva, ¿Alfabeto Nubio Antiguo?","Monarquías Cristianas, Obispos","Egipto, Bizancio, ¿Aksum?","Nubio Antiguo, Copto, Griego",
África,África Occidental,Sahel Occidental (Mauritania),Tradición Dhar Tichitt,ca. 2500 - 500 a.C.,"Agricultura (Mijo Perla), Ganadería (Bovino), Caza-Rec.",Aldeas grandes y permanentes,"Construcciones en piedra seca (recintos, casas)","Cerámica, Piedra pulida, ¿Metalurgia temprana?",Jefaturas? (Tamaño sitios),Regional,[No Evidencia],
África,África Occidental,Sahel / Sabana / Bosque,"Culturas Neolíticas WA (diversas, ej. Kintampo)",ca. 4000/2000 - 500 a.C.,"Agricultura (Mijo, Sorgo, Ñame, Palma), Pesca, Caza-Rec.","Aldeas dispersas, Campamentos estacionales","Abrigos rocosos, Cabañas material perecedero","Cerámica, Piedra pulida, ¿Agricultura vegecultural?",Probablemente limitada,Local / Regional,Arte Rupestre (en algunas zonas),
África,África Occidental,Cuenca Níger Medio (Malí),Jenné-Jeno (Fases iniciales),ca. 250 a.C. - 750+ d.C.,"Agricultura (Arroz Africano, Mijo), Pesca, Ganadería",Agrupación densa de Tells (montículos),Casas de adobe cilíndricas,"Cerámica, Hierro (posterior), ¿Comercio fluvial?",¿Consejos de ancianos? (Sin élite clara),Regional (Delta Interior Níger),[No Evidencia],
África,África Occidental,Nigeria Central,Cultura Nok,ca. 600 a.C. - 300 d.C.,"Agricultura, Metalurgia",Aldeas dispersas,¿Santuarios? (Contexto terracotas desconocido),"Terracotas elaboradas, Fundición Hierro Temprana",Jefaturas complejas?,Regional,[No Evidencia],
África,África Occidental,Cuenca del Lago Chad,Civilización Sao (Fases tempranas),ca. 1100 a.C. - 750+ d.C.,"Agricultura, Pesca, ¿Ganadería?","Grandes asentamientos, algunos fortificados","Murallas de tierra, Arquitectura de adobe","Cerámica elaborada, Figurillas, Hierro",¿Ciudades-estado? Jefaturas?,Regional (Cuenca Chad),[No Evidencia],
África,África Occidental,General / Sahel-Savanna,Sociedades Pastoriles WA,"(Solapa con otras, énfasis >2000 a.C.)","Ganadería (Bovino, Ovino/Caprino), Movilidad estacional","Campamentos estacionales, ¿Interacción aldeas?",Cercados para ganado,"Conocimiento del entorno, ¿Lácteos?",Linajes / Clanes,Regional (Rutas de pastoreo),[No Evidencia],
África,Cuerno de África,Tierras Altas Etiopía/Eritrea,Culturas Líticas / Pastoriles Tempranas,ca. 10.000 - 1000 a.C.,"Caza-Recolección, Pastoralismo (Bovino?), ¿Agric. temprana?","Campamentos, Abrigos rocosos, ¿Aldeas incipientes?","Arte Rupestre [Fallo Búsqueda], ¿Megalitos?","Lítica, ¿Cerámica?, ¿Manejo ganado?",Probablemente limitada,Regional?,Arte Rupestre?,
África,Cuerno de África,Tierras Altas Etiopía/Eritrea,"Cultura Pre-Aksumita (D'mt?, Ona)",ca. 1000 - 400 a.C. (?),"Agricultura (Teff, Ensete?), Ganadería, Comercio","Centros ceremoniales/urbanos (Yeha), Aldeas","Templo de Yeha (piedra, influencia sudarábiga)","Metalurgia (Bronce/Hierro?), Irrigación?, ¿Escrit. Sudarábiga?",Jefaturas/Reino temprano (D'mt?),"Arabia del Sur, Valle del Nilo?",¿Sudarábiga? [Fallo Búsqueda],
África,Cuerno de África,Tierras Altas Etiopía/Eritrea,Reino de Aksum,ca. 100 - 750+ d.C.,"Agricultura, Ganadería, Comercio Marítimo/Caravanero","Capital (Axum), Ciudades portuarias (Adulis), Aldeas","Estelas/Obeliscos, Palacios, Iglesias (desde s.IV)","Escritura Ge'ez, Moneda, Metalurgia, Navegación","Monarquía, Élites, Jerarquía eclesiástica (post-Ezana)","Imp. Romano/Biz., India, Arabia, África Int.","Ge'ez, Griego",
África,Cuerno de África,Costa Somalí / Tierras Bajas,Culturas Pastoriles Somalíes Tempranas,ca. 3000 a.C. - 750+ d.C.,"Pastoralismo nómada/seminómada (Camello, Ovino/Caprino)","Campamentos móviles/estacionales, ¿Pozos?",[No Evidencia Clara],"Adaptaciones áridas, ¿Manejo rebaños?",Tribal / Linajes,"Regional, ¿Conexión con Costa?",[No Evidencia],
África,Cuerno de África,Costa Somalí / Tierras Bajas,"Puertos Comerciales Costeros (""Azania"": Opone, Malao...)",ca. s.I a.C./d.C. - 750+ d.C. (?),"Comercio (Incienso, Mirra, Marfil), Pesca",Pueblos/Ciudades portuarias,"¿Almacenes?, ¿Muelles? [Fallo Búsqueda]","Navegación (Mar Rojo/Índico), ¿Cerámica importada?",Jefaturas locales? Comerciantes,"Arabia, Egipto Romano, India, ¿Aksum?",[No Evidencia Propia],
África,África Meridional (Austral),"Meseta Interior, Desiertos SO, Costa SE","Culturas LSA / Ancestros San (ej. Wilton, Smithfield)",ca. 10.000 a.C. - (solapa con otros),Caza-Recolección Adaptativa,Bandas Móviles,"Abrigos rocosos, Campamentos","Lítica LSA (microlitos), Arco, Veneno, Arte Rupestre",Probablemente Egalitaria,Regional,Arte Rupestre (complejo),
África,África Meridional (Austral),Costa / Áreas Fluviales (inicialmente),Pastoralistas Khoikhoi (Fases Tempranas),desde ca. 1 d.C.,"Pastoralismo (Ovino, Bovino), Caza-Rec.",Grupos Móviles/Semi-Sedentarios,Kraals? Viviendas ligeras,"Cerámica distintiva, Ganadería",¿Basada en linajes/riqueza?,Regional,[No Evidencia],
África,África Meridional (Austral),"Noreste (Limpopo) y Costa Sureste (KZN, E.Cape)",Expansión Bantú / Culturas EIA (ej. Silver Leaves),desde ca. 200/300 d.C.,"Agricultura (Sorgo, Mijo), Ganadería, Metalurgia",Aldeas Sedentarias,"Cabañas, Graneros, Hornos","Cerámica EIA (Matola, etc.), Metalurgia del Hierro",Jefaturas Incipientes?,Regional (Expansión),[No Evidencia],
Asia,Asia Occidental (SO Asiático / Cercano O.),Anatolia,"Neolítico Anatolio (Göbekli T., Çatalhöyük, Hacilar)",ca. 10.000 - 6000 a.C.,"Pre-Agric (GT) -> Agric. Temprana (ÇH), Ganadería","Centros Ceremoniales (GT), Proto-Ciudades (ÇH), Aldeas","Monumental Temprana (Piedra GT), Doméstica Aglutinada (ÇH)","Lítica, Obsidiana, ¿Cerámica tardía?, ¿Cobre temprano?","Compleja (GT), ¿Egalitaria (ÇH)?",Regional (Obsidiana),"Simbolismo complejo, ¿Sellos?",
Asia,Asia Occidental (SO Asiático / Cercano O.),Anatolia,Calcolítico Anatolio,ca. 6000 - 3000 a.C.,"Agricultura, Ganadería","Aldeas, ¿Centros fortificados?",Viviendas adobe/piedra,"Metalurgia Cobre Temprana, Cerámica pintada",Creciente?,Regional,[No Evidencia Clara],
Asia,Asia Occidental (SO Asiático / Cercano O.),Anatolia,Imperio Hitita,ca. 1600 - 1178 a.C.,"Agricultura (Trigo/Cebada), Ganadería, Metalurgia (Hierro)","Capital Fortificada (Hattusa), Ciudades, Fortalezas","Murallas Ciclópeas, Templos, Palacios","Metalurgia Hierro (temprana), Carro ligero, Escritura Cun./Jerogl.","Monarquía, Burocracia, Aristocracia","Amplio (Egipto, Mesop., Egeo)","Cuneiforme Hitita, Jerogl. Luvita",
Asia,Asia Occidental (SO Asiático / Cercano O.),Anatolia,Reinos Neo-Hititas / Frigia / Lidia / Urartu (parcial),ca. 1200 - 600 a.C.,"Agricultura, Ganadería, Metalurgia (Hierro), Comercio","Ciudades Fortificadas (Gordio, Sardes, Tushpa)","Arquitectura monumental, Túmulos (Frigia)","Hierro avanzado, ¿Moneda (Lidia)?, ¿Ing. Hidráulica (Urartu)?","Monarquías, Élites",Regional / Mediterráneo,"Diversas (Luvita Jerogl., Frigio, Lidio, Urartiano Cuneif.)",
Asia,Asia Occidental (SO Asiático / Cercano O.),Anatolia,"Ciudades Griegas (Jonia, etc.) / Dominio Persa/Hel./Rom./Biz.",ca. 1000 a.C. - 750+ d.C.,"Comercio Marítimo, Agricultura, Artesanía (Griegas) -> Imp.",Polis Griegas -> Integración en sistemas imperiales,"Templos, Teatros (Griegos) -> Urbanismo Imperial","Alfabeto Griego, Filosofía, Moneda -> Tecn. imperiales",Democracia/Oligarquía -> Jerarquías Imp.,Amplio Mediterráneo/Imperial,Griego -> Latín/Griego,
Asia,Asia Occidental (SO Asiático / Cercano O.),Mesopotamia,"Neolítico Mesopotámico (Hassuna, Samarra, Halaf)",ca. 7000 - 5500 a.C.,"Agricultura temprana (Trigo/Cebada), Ganadería",Aldeas agrícolas,"Viviendas adobe, ¿Primeros templos?","Cerámica pintada distintiva, ¿Irrigación incipiente?",¿Jefaturas tempranas?,Regional,¿Sellos?,
Asia,Asia Occidental (SO Asiático / Cercano O.),Mesopotamia,Período Ubaid / Período Uruk,ca. 5500 - 3100 a.C.,Agricultura de Regadío Intensiva,"Aldeas -> Ciudades, Centros ceremoniales (Templos)",Templos sobre plataformas (zigurats tempranos),"Rueda, Arado, Vela, Proto-Escritura (Uruk) [KI]","Jerarquía Teocrática, Especialistas","Amplia (""Expansión Uruk"") [KI]","Sellos Cilíndricos, Proto-Cuneif.",
Asia,Asia Occidental (SO Asiático / Cercano O.),Mesopotamia,Ciudades-Estado Sumerias (Dinástico Temprano),ca. 3100 - 2350 a.C.,Agricultura de Regadío,"Ciudades Amuralladas (Uruk, Ur, Lagash)","Zigurats, Templos, Palacios, Tumbas Reales (Ur)","Escritura Cuneiforme, Bronce, Rueda","Rey-Sacerdote (""Ensi""/""Lugal"")","Mesopotamia, Elam, ¿Indo?",Cuneiforme Sumerio,
Asia,Asia Occidental (SO Asiático / Cercano O.),Mesopotamia,Imperio Acadio / Ur III / Imp. Paleobabilónico,ca. 2350 - 1600 a.C.,"Agricultura de Regadío, Comercio","Ciudades capitales (Akkad?, Ur, Babilonia)","Palacios, Templos, Zigurats (Ur)","Administración centralizada, Códigos legales (Hammurabi)","Reyes, Imperio centralizado","Amplio (Mesopotamia, Irán, Levante)","Cuneiforme (Acadio, Sumerio)",
Asia,Asia Occidental (SO Asiático / Cercano O.),Mesopotamia,Dominio Casita / Imperio Asirio (Medio y Neo),ca. 1600 - 612 a.C.,"Agricultura, Ganadería, Tributos, Comercio","Capitales imperiales (Dur-Kurigalzu, Ashur, Kalhu, Nínive)","Palacios monumentales (relieves asirios), Templos","Hierro, Caballería, Máquinas asedio, Admón. Imp.","Rey, Ejército profesional, Burocracia",Vasto Imperio,"Cuneiforme (Babilonio, Asirio)",
Asia,Asia Occidental (SO Asiático / Cercano O.),Mesopotamia,Imperio Neobabilónico,626 - 539 a.C.,"Agricultura, Comercio, Construcción",Capital monumental (Babilonia),"Zigurat (Etemenanki), Jardines Colgantes?, Puerta Ishtar",Astronomia/Matemáticas avanzadas,"Rey, Sacerdocio","Mesopotamia, Levante",Cuneiforme (Babilonio),
Asia,Asia Occidental (SO Asiático / Cercano O.),Mesopotamia,Dominio Persa / Helenístico / Parto / Sasánida,539 a.C. - 651 d.C.,"Agricultura, Comercio (Rutas Imperiales)","Integración en sistemas imperiales, Capitales (Ctesifon)","Palacios (Persas, Partos, Sasánidas - Taq Kasra)","Administración imperial, Satrapías, Moneda, Caminos","Emperador, Administración Centralizada",Vasto (Imperios respectivos),"Arameo, Persa Ant./Medio, Griego",
Asia,Asia Occidental (SO Asiático / Cercano O.),Levante,Neolítico Levantino (PPN/PN),ca. 10.000 - 4500 a.C.,Domesticación temprana plantas/animales,"Aldeas (Jericó), ¿Primeros ""muros""?","Viviendas circulares/rectangulares, Cráneos enlucidos","Agricultura, Ganadería, Piedra pulida, ¿Yeso?",¿Jefaturas tempranas?,Regional,¿Sistemas de conteo?,
Asia,Asia Occidental (SO Asiático / Cercano O.),Levante,Ciudades Cananeas / Ebla / Ugarit (Bronce Medio/Tardío),ca. 2000 - 1200 a.C.,"Agricultura, Comercio Marítimo/Caravanero",Ciudades-estado amuralladas,"Palacios, Templos, Archivos","Bronce, Escritura Alfabética (Ugarit), Vidrio","Reyes locales, Influencia Egipto/Hitita","Egipto, Mesop., Egeo, Chipre","Cuneiforme (Acadio), Alfab. Ugar.",
Asia,Asia Occidental (SO Asiático / Cercano O.),Levante,Filisteos / Ciudades Fenicias / Reinos Israel y Judá,ca. 1200 - 586 a.C.,"Agricultura, Comercio Marítimo (Fenicios), Hierro","Ciudades portuarias (Fen.), Capitales (Samaria, Jerusalén)","Templos (Salomón?), Puertos, ¿Arquitectura filistea?","Alfabeto Fenicio, Hierro, Navegación","Monarquías, Oligarquías (Fen.)","Amplio Medit. (Fen.), Regional","Fenicio, Hebreo, Arameo",
Asia,Asia Occidental (SO Asiático / Cercano O.),Levante,Dominio Asirio/Babilónico/Persa/Hel./Rom./Biz./Islámico,ca. 730 a.C. - 750+ d.C.,Integrado en economías imperiales,"Provincias/Satrapías imperiales, Ciudades helen./romanas","Urbanismo imperial, Iglesias/Sinagogas/Mezquitas",Administración imperial,"Gobernadores imperiales, Élites locales",Dentro de Imperios respectivos,"Arameo, Griego, Latín, Árabe",
Asia,Asia Occidental (SO Asiático / Cercano O.),Meseta Iraní,Culturas Neolíticas/Calcolíticas (ej. Tepe Sialk),ca. 7000 - 3000 a.C.,"Agricultura temprana, Ganadería, ¿Cobre temprano?",Aldeas,"Viviendas adobe, Cerámica pintada","Cerámica, ¿Metalurgia Cobre?",Probablemente limitada,Regional,¿Sellos?,
Asia,Asia Occidental (SO Asiático / Cercano O.),Meseta Iraní,Proto-Elamitas / Reino de Elam / Jiroft?,ca. 3200 - 539 a.C.,"Agricultura, Ganadería, Comercio","Centros urbanos (Susa), Aldeas","Zigurats (Chogha Zanbil), Palacios, ¿Relieves rupestres?","Escritura Proto-Elam./Lineal Elam./Cuneif., Bronce, Faiança",Monarquía (Elam),"Mesopotamia, ¿Valle Indo?",Proto-Elamita -> Elamita Cuneif.,
Asia,Asia Occidental (SO Asiático / Cercano O.),Meseta Iraní,Medos / Imperio Persa (Aqueménida),ca. 700 - 330 a.C.,"Agricultura, Ganadería, Tributos, Comercio (Ruta Real)","Capitales (Ecbatana, Susa, Persépolis, Pasargadae)","Palacios monumentales (Persépolis), Tumbas reales","Administración (Satrapías), Moneda (Dárico), Caminos","Gran Rey, Nobleza Persa/Meda",Vasto (India a Egipto/Grecia),"Persa Antiguo Cuneif., Arameo",
Asia,Asia Occidental (SO Asiático / Cercano O.),Meseta Iraní,Dominio Seleúcida / Imperio Parto / Imperio Sasánida,ca. 312 a.C. - 651 d.C.,"Agricultura, Ganadería, Comercio (Ruta Seda)","Ciudades helenísticas -> Capitales (Seleucia, Ctesifonte)","Palacios (Parto/Sasánida), Templos fuego (Zoroast.)","Catafractos (Partos), Admón. Centralizada (Sas.)","Rey de Reyes, Nobleza Parta/Sasánida","Amplio (Asia Central, Roma)","Griego, Parto, Pahlavi (Persa Medio)",
Asia,Asia Occidental (SO Asiático / Cercano O.),Península Arábiga,Culturas Neolíticas/Bronce / Pastoralistas,ca. 10k a.C. - 1k a.C.,"Caza-Rec., Pastoralismo, ¿Comercio marítimo (Dilmun)?","Campamentos, Oasis, ¿Asentamientos costeros?","¿Megalitos?, ¿Tumbas?","Adaptaciones áridas, ¿Navegación temprana?",Tribal / Linajes,"Regional, ¿Mesopotamia/Indo?",[No Evidencia Clara],
Asia,Asia Occidental (SO Asiático / Cercano O.),Península Arábiga,"Reinos Sudarábigos (Saba, Himyar, etc.)",ca. 1000 a.C. - 570 d.C.,"Agricultura (presas, ej. Marib), Comercio (Incienso)","Ciudades, Templos, Presas","Arquitectura en piedra, Presa de Marib, Templos","Escritura Sudarábiga, Ingeniería hidráulica","Monarquías, Sacerdocio","Mar Rojo, Mediterráneo, India",Alfabeto Sudarábigo,
Asia,Asia Occidental (SO Asiático / Cercano O.),Península Arábiga,Reino Nabateo / Reinos/Tribus del Norte y Centro,ca. 400 a.C. - 630 d.C.,"Comercio Caravanero, Pastoralismo, Agricultura (Nabateos)","Ciudades (Petra, Hegra), Oasis, Campamentos","Tumbas rupestres (Petra), Templos, Sistemas hidráulicos","Gestión agua (Nabateos), ¿Escritura Nabatea/Árabe temprana?","Monarquía (Nabatea), Jefes Tribales","Levante, Egipto, Mesop., Roma",Nabateo -> Árabe Temprano,
Asia,Asia Occidental (SO Asiático / Cercano O.),Península Arábiga,Califatos Islámicos Tempranos,ca. 630 - 750+ d.C.,Unificación política y religiosa,"Centros urbanos (Meca, Medina), Expansión",Mezquitas,"Administración centralizada, Moneda árabe","Califa, Élite Árabe Musulmana",Vasto (Arabia a Iberia/India),Escritura Árabe,
Asia,Asia Occidental (SO Asiático / Cercano O.),Región del Cáucaso,"Culturas Neolíticas/Calcolíticas (Shulaveri, etc.)",ca. 6000 - 3400 a.C.,"Agricultura temprana, Ganadería",Aldeas,Viviendas circulares de adobe,"Cerámica temprana, Obsidiana",Probablemente limitada,Regional,[No Evidencia],
Asia,Asia Occidental (SO Asiático / Cercano O.),Región del Cáucaso,Cultura Kura-Araxes,ca. 3400 - 2000 a.C.,"Agricultura (Grano), Ganadería (Vacuno, Ovino/Caprino)","Aldeas, ¿Centros fortificados?",Casas adobe (redondas->cuadradas),"Metalurgia (Bronce) influyente, Cerámica distintiva",¿Jefaturas?,"Amplia (Anatolia, Levante, Irán)",[No Evidencia],
Asia,Asia Occidental (SO Asiático / Cercano O.),Región del Cáucaso,Culturas Bronce Medio/Tardío (ej. Trialeti),ca. 2200 - 1500 a.C.,"Ganadería, Agricultura, Metalurgia","¿Centros fortificados?, Kurgánes (Túmulos)",Ricos ajuares funerarios (Túmulos Trialeti),"Metalurgia avanzada (Bronce, Oro, Plata)",Élites guerreras (Kurganes),"Cercano Oriente, ¿Estepas?",[No Evidencia],
Asia,Asia Occidental (SO Asiático / Cercano O.),Región del Cáucaso,"Reinos de la Edad del Hierro (Urartu, Colchis, etc.)",ca. 1200 a.C. - 750+ d.C.,"Agricultura, Ganadería, Metalurgia (Hierro), Tributos","Ciudades fortificadas (Tushpa/Van), Fortalezas","Arquitectura en piedra, ¿Templos?","Hierro, ¿Ingeniería?",Monarquías (Urartu),"Asiria, Anatolia, Irán",¿Cuneiforme Urartiano?,
Asia,Asia Central,Estepas (Occ. y Or.),Culturas Neolíticas/Eneolíticas Esteparias (ej. Botai),ca. 6000 - 3000 a.C.,"Caza-Rec., ¿Pastoralismo temprano?, ¿Domestic. Caballo?","Aldeas semi-permanentes?, Campamentos",Viviendas semi-subterráneas,"Lítica, ¿Cerámica?, ¿Manejo caballo?",Limitada?,Regional,[No Evidencia],
Asia,Asia Central,Estepas (Occ. y Or.),"Culturas Edad Bronce (Sintashta, Andronovo)",ca. 2800 - 1000 a.C.,"Pastoralismo (Ovino, Bovino, Caballo), ¿Agricultura?","Asentamientos Fortificados (Sintashta), Campamentos","Fortificaciones, Kurgánes (túmulos)","Metalurgia Bronce avanzada, Carro de guerra",Élites guerreras (Sintashta),"Amplia (Estepas, ¿Cercano Oriente?)",[No Evidencia],
Asia,Asia Central,Estepas Occidentales,Escitas / Sármatas,ca. 800 a.C. - 300 d.C.,"Pastoralismo Nómada (Caballo central), Guerra, Comercio","Campamentos móviles, ¿Centros fortificados temporales?","Kurgánes Reales (ricos ajuares, ej. Pazyryk)","Equitación, Arco compuesto, Hierro, Arte animalista","Jefes Tribales, Aristocracia Guerrera","Amplia (Grecia, Persia, China)",[No Evidencia Propia],
